recruit,ranking,high.school,position,score,year
Ty Rodgers,55,"Thornton Township (Harvey, IL)",PF,95,2022
Riley Kugel,56,"Dr. Phillips (Orlando, FL)",SG,95,2022
Miles Byrd,57,"Lincoln (Stockton, CA)",SG,95,2022
Elijah Fisher,58,"Crestwood Prep (Toronto, ON)",SF,95,2022
Kijani Wright,59,"Sierra Canyon (Chatsworth, CA)",PF,94,2022
Leon Bond,60,"Wauwatosa East (Milwaukee, WI)",SF,94,2022
Jaxon Kohler,61,"SoCal Academy (American Fork, UT)",PF,94,2022
Mark Armstrong,62,"St. Peter's Prep (South Orange, NJ)",CG,94,2022
Judah Mintz,63,"Oak Hill Academy (Mouth Of Wilson, VA)",CG,94,2022
London Johnson,64,"Norcross (Norcross, GA)",CG,94,2022
Amaree Abram,65,"SoCal Academy (Castaic, CA)",PG,94,2022
Milos Uzan,66,"Dream City Christian (Glendale, AZ)",PG,94,2022
Pop Isaacs,67,"Coronado (Henderson, NV)",PG,94,2022
Jalen Washington,68,"West Side (Gary, IN)",C,94,2022
Tafara Gapare,69,"South Kent School (New Zealand, NEW )",PF,94,2022
Aidan Shaw,70,"Blue Valley (Stilwell, KS)",SF,94,2022
Austin Nunez,71,"Wagner HS (San Antonio, TX)",PG,94,2022
Chris Bell,72,"Wasatch Academy (Mount Pleasant, UT)",SF,94,2022
Donovan Clingan,73,"Bristol Central (Bristol, CT)",C,94,2022
Felix Okpara,74,"Link Academy (Branson, MO)",C,94,2022
Joseph Hunter Jr.,75,"San Joaquin Memorial (Fresno, CA)",SG,94,2022
Kam Craft,76,"The Skill Factory (Atlanta, GA)",SG,93,2022
Jalen Reed,77,"SoCal Academy (Castaic, CA)",PF,93,2022
Jaden Schutt,78,"Yorkville Christian (Yorkville, IL)",SG,93,2022
Kamari Lands,79,"Hillcrest Prep (Phoenix, AZ)",SF,93,2022
Derrian Ford,80,"Magnolia (Magnolia, AR)",CG,93,2022
Isaac Traudt,81,"Grand Island (Grand Island, NE)",PF,93,2022
Jevon Porter,82,"Father Tolton (Columbia, MO)",PF,93,2022
Chandler Jackson,83,"Christian Brothers (Memphis, TN)",CG,93,2022
Taylor Hendricks,84,"Calvary Christian Academy (Fort Lauderdale, FL)",PF,93,2022
DJ Jefferson,85,"Minnesota Preparatory Academy (Saint Paul, MN)",SF,93,2022
Brice Sensabaugh,86,"Lake Highland Prep (Orlando, FL)",SF,93,2022
Tre Holloman,87,"Cretin Derham Hall (Saint Paul, MN)",PG,92,2022
Josh Ojianwuna,88,"NBA Global Academy (Nigeria, NIGE)",C,92,2022
Kaleb Banks,89,"Fayette County (Fayetteville, GA)",PF,92,2022
Tyler Nickel,90,"East Rockingham (Elkton, VA)",PF,92,2022
Otega Oweh,91,"Blair Academy (Blairstown, NJ)",SG,92,2022
Zion Cruz,92,"Donda Academy (Simi Valley, CA)",SG,92,2022
Braden Huff,93,"Glenbard West (Carol Stream, IL)",PF,91,2022
Zach Keller,94,"ThunderRidge (Littleton, CO)",PF,91,2022
Dylan Anderson,95,"Perry (Gilbert, AZ)",C,91,2022
Sencire Harris,96,"St. Vincent-St. Mary (Akron, OH)",SG,91,2022
BJ Edwards,97,"Knoxville Catholic (Knoxville, TN)",PG,91,2022
Lee Dort,98,"Greenhill School (Addison, TX)",C,91,2022
Noah Clowney,99,"Dorman (Roebuck, SC)",PF,91,2022
Kimani Hamilton,100,"Clinton (Clinton, MS)",SF,91,2022
Desmond Claude,101,"Putnam Science Academy (New Haven, CT)",PG,91,2022
Devin Ree,102,"Oak Hill Academy (Terry, MS)",SF,91,2022
Denver Anglin,103,"Gill St Bernards (Montclair, NJ)",CG,91,2022
Rodney Rice,104,"DeMatha Catholic (Clinton, MD)",CG,91,2022
Dan Skillings Jr.,105,"Roman Catholic (Philadelphia, PA)",SG,91,2022
Filip Borovicanin,106,"Serbia (Serbia, SERB)",SF,91,2022
Jaylen Thompson,107,"SoCal Academy (Oakland, CA)",SF,91,2022
KyeRon Lindsay,108,"Denton Guyer (Denton, TX)",PF,90,2022
Ven-Allen Lubin,109,"Orlando Christian Prep (Orlando, FL)",PF,90,2022
TJ Caldwell,110,"Faith Family Academy of Oak Cliff (Dallas, TX)",SG,90,2022
Lamar Washington,111,"Compass Prep (Portland, OR)",SG,90,2022
Noah Shelby,112,"Greenhill School (McKinney, TX)",PG,90,2022
Dug McDaniel,113,"Paul VI Catholic (Fairfax, VA)",PG,90,2022
Donald Hand,114,"Landstown (Virginia Beach, VA)",CG,90,2022
Mike Sharavjamts,115,"Andrews Osborne Academy (Mongolia, MONG)",SF,90,2022
Donovan Dent,116,"Centennial (Corona, CA)",PG,90,2022
Adrame Diongue,117,"Compass Prep (Senegal, SENE)",C,90,2022
Malique Ewin,118,"Berkmar (Lilburn, GA)",C,90,2022
De'Ante Green,119,"Asheville Christian Academy (Swannanoa, NC)",PF,90,2022
CJ Gunn,120,"Lawrence North (Indianapolis, IN)",SG,90,2022
Cameron Corhen,121,"Sunrise Christian Academy (Allen, TX)",C,90,2022
Fletcher Loyer,122,"Homestead (Fort Wayne, IN)",SG,90,2022
Pharrel Payne,123,"Park Senior (Cottage Grove, MN)",PF,90,2022
Quion Williams,124,"Jonesboro (Jonesboro, AR)",SF,90,2022
Tre Donaldson,125,"Florida State University School (Tallahassee, FL)",PG,90,2022
PJ Haggerty,126,"Crosby (Crosby, TX)",CG,90,2022
Christian Watson,127,"St. John's College (Washington, DC)",SF,90,2022
Koren Johnson,128,"Garfield (Seattle, WA)",CG,90,2022
Gregg Glenn,129,"Calvary Christian Academy (Fort Lauderdale, FL)",PF,90,2022
Evan Mahaffey,130,"Archbishop Moeller (Cincinnati, OH)",SF,90,2022
Davin Cosby,131,"Word Of God Christian Academy (Raleigh, NC)",SG,90,2022
Rowan Brumbaugh,132,"Northfield Mount Hermon (Northfield, MA)",PG,90,2022
Alphonzo Billups,133,"Varina (Richmond, VA)",SG,90,2022
AJ Casey,134,"Whitney Young (Chicago, IL)",PF,90,2022
Chase Ross,135,"Cushing Academy (Dallas, TX)",SG,90,2022
Brendan Hausen,136,"Amarillo (Amarillo, TX)",SG,90,2022
Bobi Klintman,137,"Sunrise Christian Academy (Sweden, SWED)",PF,90,2022
Adou Thiero,138,"Quaker Valley (Leetsdale, PA)",CG,90,2022
Prince Aligbe,139,"Minnehaha Academy (Minneapolis, MN)",PF,89,2022
Barry Dunning Jr.,140,"McGill Toolen (Mobile, AL)",SF,89,2022
Camden Heide,141,"Wayzata (Minneapolis, MN)",SF,89,2022
Jayden Pierre,142,"Long Island Lutheran (Elizabeth, NJ)",PG,89,2022
Aidan Mahaney,143,"Campolindo (Moraga, CA)",SG,89,2022
Favour Aire,144,"Bishop McNamara (District Heights, MD)",C,89,2022
AJ Storr,145,"IMG Academy (Bradenton, FL)",SG,89,2022
Ryan Agarwal,146,"Coppell (Coppell, TX)",SF,89,2022
Ryan Dunn,147,"Perkiomen School (Freeport, NY)",SF,89,2022
Daniel Hankins-Sanford,148,"Chambers (Charlotte, NC)",PF,89,2022
Colin Smith,149,"Compass Prep (Dallas, TX)",PF,89,2022
Jorge Diaz Graham,150,"IMG Academy (Canary Islands, CANA)",PF,89,2022
Ron Holland,1,"Duncanville (Duncanville, TX)",PF,99,2023
Isaiah Collier,2,"Wheeler (Marietta, GA)",PG,99,2023
Justin Edwards,3,"Imhotep Institute (Philadelphia, PA)",SF,99,2023
Cody Williams,4,"Perry (Gilbert, AZ)",SF,99,2023
Aaron Bradshaw,5,"Camden (Roselle, NJ)",C,99,2023
DJ Wagner,6,"Camden (Camden, NJ)",CG,99,2023
Matas Buzelis,7,"Sunrise Christian Academy (Wichita, KS)",SF,99,2023
Ja'Kobe Walter,8,"Link Academy (McKinney, TX)",SG,98,2023
Stephon Castle,9,"Newton (Covington, GA)",CG,98,2023
