recruit,ranking,high.school,position,score,year
Josh Jackson,1,"Justin-Siena (Detroit, MI)",SG,102,2016
Lonzo Ball,2,"Chino Hills (Chino, CA)",PG,101,2016
Harry Giles,3,"Oak Hill Academy (Winston Salem, NC)",PF,100,2016
Markelle Fultz,4,"DeMatha Catholic (Hyattsville, MD)",CG,100,2016
Frank Jackson,5,"Lone Peak (American Fork, UT)",PG,100,2016
De'Aaron Fox,6,"Cy Lakes (Katy, TX)",PG,99,2016
Dennis Smith Jr.,7,"Trinity Christian School (Fayetteville, NC)",PG,99,2016
Jayson Tatum,8,"Chaminade (St. Louis, MO)",SF,99,2016
Jonathan Isaac,9,"IMG Academy (Hollywood, FL)",SF,99,2016
Malik Monk,10,"Bentonville (Lepanto, AR)",CG,99,2016
Miles Bridges,11,"Huntington Expression Prep (Huntington, WV)",SF,99,2016
Bam Adebayo,12,"High Point Christian Academy (Pinetown, NC)",PF,99,2016
Thon Maker,13,Athlete Institute Basketball Academy (),PF,99,2016
Wenyen Gabriel,14,"Wilbraham & Monson Academy (Wilbraham, MA)",PF,99,2016
Terrance Ferguson,15,"Advanced Preparatory International (Dallas, TX)",SG,99,2016
Lauri Markkanen,16,"International (Paterson, NJ)",PF,98,2016
Jarrett Allen,17,"St. Stephen's Episcopal (Austin, TX)",PF,98,2016
Marques Bolden,18,"DeSoto (DeSoto, TX)",C,98,2016
TJ Leaf,19,"Foothills Christian (El Cajon, CA)",PF,98,2016
Zach Collins,20,"Bishop Gorman (Las Vegas, NV)",C,98,2016
Joshua Langford,21,"Madison Academy (Madison, AL)",SG,98,2016
Dewan Hernandez,22,"Miami Norland (Miami, FL)",PF,98,2016
Bruce Brown,23,"Vermont Academy (Boston, MA)",CG,98,2016
Austin Wiley,24,"Spain Park (Birmingham, AL)",PF,98,2016
Sacha Killeya-Jones,25,"Virginia Episcopal School (Chapel Hill, NC)",PF,98,2016
Omer Yurtseven,26,"Fenerbahce Basketbol Subesi (Istanbul, IS)",C,98,2016
Omari Spellman,27,"MacDuffie School (North Royalton, OH)",C,98,2016
Mustapha Heron,28,"Sacred Heart (Waterbury, CT)",SF,98,2016
Kobi Simmons,29,"St. Francis (Alpharetta, GA)",CG,98,2016
Rawle Alkins,30,"Word Of God Christian Academy (Middle Village, NY)",SG,98,2016
Ty Jerome,31,"Iona Preparatory School (New Rochelle, NY)",PG,97,2016
Alterique Gilbert,32,"Miller Grove (Lithonia, GA)",PG,97,2016
Tony Bradley,33,"Bartow (Bartow, FL)",C,97,2016
V.J. King,34,"Paul VI Catholic (Akron, OH)",SF,97,2016
Cassius Winston,35,"University Of Detroit Jesuit (Detroit, MI)",PG,97,2016
Jay Huff,36,"Voyager Academy (Durham, NC)",PF,97,2016
De'Riante Jenkins,37,"Hargrave Military Academy (Marion, SC)",SF,97,2016
Andrew Jones,38,"MacArthur (Irving, TX)",CG,97,2016
Tyus Battle,39,"Gill St Bernard S School (Edison, NJ)",SG,97,2016
Udoka Azubuike,40,"The Potter's House Christian Academy (Jacksonville, FL)",C,97,2016
Sam Cunliffe,41,"Rainier Beach (Seattle, WA)",SF,96,2016
Jarron Cumberland,42,"Wilmington (Wilmington, OH)",SG,96,2016
Kyle Guy,43,"Lawrence Central (Indianapolis, IN)",CG,96,2016
Markus Howard,44,"Findlay Prep (Gilbert, AZ)",PG,96,2016
Justin Jackson,45,"Findlay Prep (Toronto, ON)",SF,96,2016
Juwan Durham,46,"Tampa Preparatory School (Tampa, FL)",PF,96,2016
Kameron McGusty,47,"Seven Lakes (Katy, TX)",SG,96,2016
De'Ron Davis,48,"Overland (Aurora, CO)",PF,96,2016
Schnider Herard,49,"Prestonwood Christian (Plano, TX)",C,96,2016
Nick Ward,50,"Gahanna Lincoln (Columbus, OH)",PF,95,2016
Jayce Johnson,51,"Santa Monica (Santa Monica, CA)",C,95,2016
Javin DeLaurier,52,"St. Anne's-Belfield School (Charlottesville, VA)",PF,95,2016
Kostas Antetokounmpo,53,"Dominican (Milwaukee, WI)",SF,95,2016
Ted Kapita,54,"DME Academy (Melbourne, FL)",PF,95,2016
Richard Freudenberg,55,"Bayern Munich (Munich, BV)",SF,95,2016
Brandon Robinson,56,"Douglas County (Douglasville, GA)",SG,94,2016
DeJon Jarreau,57,"McDonogh 35 (New Orleans, LA)",CG,94,2016
JJ Caldwell,58,"Cy Woods (Cypress, TX)",PG,94,2016
Seventh Woods,59,"Hammond School (Columbia, SC)",CG,94,2016
Taurean Thompson,60,"Brewster Academy (Wolfeboro, NH)",C,94,2016
Braxton Key,61,"Oak Hill Academy (Mouth Of Wilson, VA)",SF,93,2016
James Banks,62,"La Lumiere School (La Porte, IN)",C,93,2016
Mark Vital,63,"Washington-Marion (Lake Charles, LA)",SF,93,2016
Mario Kegler,64,"Oak Hill Academy (Jackson, MS)",SF,93,2016
Shamorie Ponds,65,"Thomas Jefferson (New York, NY)",CG,93,2016
Trent Forrest,66,"Chipley (Chipley, FL)",SG,93,2016
Killian Tillie,67,"INSEP Paris (Paris, FR)",PF,93,2016
T.J. Gibbs,68,"Seton Hall Prep (West Orange, NJ)",PG,93,2016
Payton Pritchard,69,"West Linn (West Linn, OR)",PG,92,2016
Romello White,70,"Wheeler (Suwanee, GA)",PF,92,2016
Curtis Jones,71,"Huntington Expression Prep (Highland Springs, VA)",CG,92,2016
M.J. Cage,72,"Mater Dei (Santa Ana, CA)",PF,92,2016
Tyree Crump,73,"Bainbridge (Bainbridge, GA)",CG,92,2016
Troy Baxter,74,"The Rock School (Tallahassee, FL)",PF,92,2016
Tyler Cook,75,"Chaminade (St. Louis, MO)",PF,92,2016
Kodye Pugh,76,"Blair Academy (Baltimore, MD)",SF,92,2016
Myles Powell,77,"South Kent School (Trenton, NJ)",PG,92,2016
Brison Gresham,78,"McDonogh 35 (New Orleans, LA)",PF,92,2016
Vance Jackson,79,"St. John Bosco (Pasadena, CA)",SF,92,2016
Matthew Moyer,80,"Gahanna Lincoln (Columbus, OH)",SF,92,2016
Hopkins,81,"(Hopkins, MN)",SG,92,2016
Robert Williams,82,"North Caddo (Oil City, LA)",PF,92,2016
Anthony Cowan,83,"St. John's College (Bowie, MD)",PG,92,2016
Tony Carr,84,"Roman Catholic (Philadelphia, PA)",PG,92,2016
Kevin Huerter,85,"Shenendehowa (Clifton Park, NY)",SG,92,2016
JaQuori McLaughlin,86,"Peninsula (Gig Harbor, WA)",SG,92,2016
Jared Harper,87,"Pebblebrook (Atlanta, GA)",PG,92,2016
Markell Johnson,88,"East Technical (Cleveland, OH)",PG,91,2016
Tyson Jolly,89,"Putnam City West (Oklahoma City, OK)",SG,91,2016
Jaylen Fisher,90,"Bolton (Arlington, TN)",PG,91,2016
Keith Smith,91,"Rainier Beach (Seattle, WA)",SF,91,2016
Lamar Stevens,92,"Roman Catholic (Jenkintown, PA)",SF,91,2016
Zavier Simpson,93,"Lima Senior (Lima, OH)",PG,91,2016
Ike Anigbogu,94,"Centennial (Corona, CA)",C,91,2016
Sedee Keita,95,"Putnam Science Academy (Putnam, CT)",PF,91,2016
Samuel Japhet-Mathias,96,"London Academy (London, EN)",C,91,2016
Jacob Young,97,"Yates (Houston, TX)",PG,91,2016
Deshawn Corprew,98,"Quality Education Academy (Hampton, VA)",SF,91,2016
Brendan Bailey,99,"American Fork (American Fork, UT)",SF,91,2016
Breein Tyree,100,"St Joseph (Metuchen, NJ)",PG,91,2016
Quentin Goodin,101,"Taylor County (Campbellsville, KY)",PG,91,2016
Cameron McGriff,102,"South Grand Prairie (Grand Prairie, TX)",SF,90,2016
D.J. Funderburk,103,"St. Edward (Lakewood, OH)",C,90,2016
Eli Wright,104,"Apollo (Owensboro, KY)",SG,90,2016
Charlie Moore,105,"Morgan Park (Chicago, IL)",PG,90,2016
De'Andre Hunter,106,"Friends' Central School (Philadelphia, PA)",SG,90,2016
Alpha Diallo,107,"Brewster Academy (Wolfeboro, NH)",SF,90,2016
Eric Hester,108,"Oldsmar Christian School (Oldsmar, FL)",SG,90,2016
Mitch Lightfoot,109,"Gilbert Christian (Tucson, AZ)",PF,90,2016
Kwe Parker,110,"Wesleyan Christian (Wade, NC)",PG,90,2016
Skylar Mays,111,"University Lab (Baton Rouge, LA)",CG,90,2016
Rodney Miller,112,"Oak Hill Academy (New York, NY)",C,90,2016
Jonah Mathews,113,"Santa Monica (Santa Monica, CA)",SG,90,2016
Sam Hauser,114,"Stevens Point Area Senior (Stevens Point, WI)",SF,90,2016
Lamar Peters,115,"Landry-Walker (New Orleans, LA)",PG,90,2016
Jacob Larsen,116,"SISU (Copenhagen, DN)",PF,90,2016
John Mooney,117,"Lake Brantley (Altamonte Springs, FL)",PF,90,2016
Tyson Carter,118,"Starkville (Starkville, MS)",SG,90,2016
DeAndre Williams,119,"Klein Forest (Houston, TX)",SF,90,2016
Josh Hall,120,"Genesis Academy (Lynchburg, VA)",SF,90,2016
Harry Froling,121,"Australian Institute of Sport (Canberra, SW)",C,90,2016
Cameron Lard,122,"Natchitoches Central (Natchitoches, LA)",PF,90,2016
Austin Davis,123,"Onsted Community (Onsted, MI)",C,90,2016
Donte Fitzpatrick,124,"Elev8 Sports Institute (Memphis, TN)",SG,90,2016
Seth Towns,125,"Northland (Columbus, OH)",SF,89,2016
Jethro Tshisumpa,126,"Mountain Mission School (Grundy, VA)",C,89,2016
Payton Willis,127,"Fayetteville (Fayetteville, AR)",PG,89,2016
Maliek White,128,"George Wythe (Richmond, VA)",PG,89,2016
Clevon Brown,129,"Churchill (San Antonio, TX)",PF,89,2016
Jakolby Long,130,"Mustang (Mustang, OK)",SG,89,2016
William McDowell-White,131,"Wishart State School (Brisbane, QL)",CG,89,2016
Devearl Ramsey,132,"Sierra Canyon (Chatsworth, CA)",PG,89,2016
Oscar Frayer,133,"Moreau Catholic (Hayward, CA)",SF,89,2016
Quentin Jackson,134,"Carlisle School (Raleigh, NC)",CG,89,2016
Koby McEwen,135,"Wasatch Academy (Mount Pleasant, UT)",PG,89,2016
Rui Hachimura,136,"Meisei (Tokyo, JP)",SF,89,2016
Solomon Young,137,"Sacramento (Sacramento, CA)",PF,89,2016
Tyrique Jones,138,"Vermont Academy (Saxtons River, VT)",PF,89,2016
Carsen Edwards,139,"Atascocita (Humble, TX)",PG,89,2016
Zach Norvell Jr.,140,"Simeon (Chicago, IL)",SG,89,2016
Joey Brunk,141,"Southport (Indianapolis, IN)",C,89,2016
Mamadou Diarra,142,"Putnam Science Academy (Putnam, CT)",PF,89,2016
Gavin Baxter,143,"Timpview (Provo, UT)",SF,89,2016
Eron Gordon,144,"North Central (Indianapolis, IN)",SG,89,2016
Eric Curry,145,"Southwest Christian Academy (Little Rock, AR)",PF,89,2016
Kristian Doolittle,146,"Edmond Memorial (Edmond, OK)",SF,89,2016
Jon Teske,147,"Medina (Medina, OH)",C,89,2016
Nate Morris,148,"Lancaster (Lancaster, TX)",C,89,2016
De'Monte Buckingham,149,"Henrico (Richmond, VA)",SG,89,2016
Cameron Satterwhite,150,"Gilbert Christian (Gilbert, AZ)",SG,89,2016
Marvin Bagley,1,"Sierra Canyon (Tempe, AZ)",PF,100,2017
Michael Porter,2,"Nathan Hale (Seattle, WA)",SF,100,2017
Mohamed Bamba,3,"Westtown School (New York, NY)",PF,100,2017
Collin Sexton,4,"Pebblebrook (Mableton, GA)",PG,100,2017
Deandre Ayton,5,"Hillcrest Prep (Phoenix, AZ)",PF,100,2017
Mitchell Robinson,6,"Chalmette (Chalmette, LA)",C,100,2017
Trevon Duval,7,"IMG Academy (Bradenton, FL)",PG,99,2017
Jaren Jackson,8,"La Lumiere School (La Porte, IN)",PF,99,2017
Jarred Vanderbilt,9,"Victory Prep (Bellaire, TX)",SF,99,2017
Wendell Carter,10,"Pace Academy (Atlanta, GA)",PF,99,2017
Hamidou Diallo,11,"Putnam Science Academy (Queens Village, NY)",SG,99,2017
Troy Brown,12,"Centennial (Las Vegas, NV)",SF,99,2017
Brian Bowen,13,"La Lumiere School (La Porte, IN)",SF,99,2017
Lonnie Walker,14,"Reading (Reading, PA)",SG,99,2017
Nick Richards,15,"St. Patrick (Manhasset, NY)",C,98,2017
Brandon McCoy,16,"Cathedral Catholic (San Diego, CA)",PF,98,2017
Gary Trent Jr.,17,"Prolific Prep (Napa, CA)",SG,98,2017
Kevin Knox,18,"Tampa Catholic (Tampa, FL)",SF,98,2017
PJ Washington,19,"Findlay Prep (Dallas, TX)",PF,98,2017
Shai Gilgeous-Alexander,20,"Hamilton Heights Christian Academy (Chattanooga, TN)",CG,98,2017
Jaylen Hands,21,"Mater Dei Catholic (Chula Vista, CA)",PG,98,2017
Billy Preston,22,"Oak Hill Academy (Mouth Of Wilson, VA)",PF,98,2017
Kris Wilkes,23,"North Central (Indianapolis, IN)",SF,98,2017
Nick Weatherspoon,24,"Velma Jackson (Camden, MS)",PG,98,2017
Ethan Thompson,25,"Bishop Montgomery (Torrance, CA)",SG,98,2017
Jontay Porter,26,"Nathan Hale (Seattle, WA)",PF,98,2017
Brandon Randolph,27,"Westtown School (Yonkers, NY)",SG,98,2017
Emmanuel Akot,28,"Wasatch Academy (Mount Pleasant, UT)",SF,98,2017
Charles O'Bannon Jr.,29,"Bishop Gorman (Las Vegas, NV)",SG,98,2017
Trae Young,30,"Norman North (Norman, OK)",PG,98,2017
Malik Williams,31,"Snider (Fort Wayne, IN)",C,98,2017
Paul Scruggs,32,"Southport (Indianapolis, IN)",PG,98,2017
Quade Green,33,"Neumann Goretti (Philadelphia, PA)",PG,97,2017
John Petty,34,"Mae Jemison (Huntsville, AL)",SG,97,2017
M.J. Walker,35,"Jonesboro (Lithia Springs, GA)",SG,97,2017
Jericho Sims,36,"Cristo Rey Jesuit (Minneapolis, MN)",PF,97,2017
Nickeil Alexander-Walker,37,"Hamilton Heights Christian Academy (Toronto, ON)",SG,97,2017
Jalek Felton,38,"Gray Academy (Mullins, SC)",CG,97,2017
Chaundee Brown,39,"The First Academy (Orlando, FL)",SG,97,2017
Jermaine Samuels,40,"The Rivers School (Weston, MA)",SF,97,2017
Ira Lee,41,"Prolific Prep (San Pedro, CA)",C,97,2017
Jeremiah Tilmon,42,"East St. Louis (East St. Louis, IL)",PF,97,2017
Silvio De Sousa,43,"IMG Academy (Montverde, FL)",PF,97,2017
Makai Ashton-Langford,44,"Brewster Academy (Worcester, MA)",PG,96,2017
Daniel Gafford,45,"El Dorado (El Dorado, AR)",PF,96,2017
Jordan Goodwin,46,"Althoff Catholic (Belleville, IL)",SG,96,2017
Lindell Wigginton,47,"Oak Hill Academy (Mouth Of Wilson, VA)",PG,96,2017
Oscar da Silva,48,"Germany (Germany, GERM)",PF,96,2017
Jordan Nwora,49,"Vermont Academy (Buffalo, NY)",SF,96,2017
DJ Harvey,50,"DeMatha Catholic (Hyattsville, MD)",SF,96,2017
Marcus Garrett,51,"Dallas Skyline (Dallas, TX)",CG,96,2017
Oshae Brissett,52,"Athlete Institute Basketball Academy (Toronto, ON)",SF,95,2017
Savion Flagg,53,"Alvin (Alvin, TX)",SF,95,2017
Tremont Waters,54,"Notre Dame (New Haven, CT)",PG,95,2017
Jordan Tucker,55,"Wheeler (White Plains, NY)",SF,95,2017
Nate Reuvers,56,"Lakeville North (Lakeville, MN)",PF,95,2017
Rayshaun Hammonds,57,"Norcross (Norcross, GA)",PF,95,2017
Daejon Davis,58,"Garfield (Seattle, WA)",CG,95,2017
Nojel Eastern,59,"Evanston Township (Evanston, IL)",SF,95,2017
Chuma Okeke,60,"Westlake (Fairburn, GA)",SF,95,2017
Kimani Lawrence,61,"New Hampton School (Ashburnham, MA)",SF,95,2017
Hameir Wright,62,"Academy Of The Holy Names Upper School (Albany, NY)",SF,95,2017
Yves Pons,63,"INSEP Paris (Paris, FR)",SF,94,2017
KZ Okpala,64,"Esperanza (Placentia, CA)",SF,94,2017
Isaiah Washington,65,"St. Raymond For Boys (Bronx, NY)",PG,94,2017
Chris Lykes,66,"Gonzaga (Washington, DC)",PG,94,2017
Matt Coleman,67,"Oak Hill Academy (Norfolk, VA)",PG,94,2017
Musa Jallow,68,"Bloomington North (Bloomington, IN)",SF,94,2017
Kellan Grady,69,"Northfield Mount Hermon (West Roxbury, MA)",PG,94,2017
Josh Anderson,70,"Madison Prep Academy (Baton Rouge, LA)",SG,94,2017
Bruno Fernando,71,"IMG Academy (Bradenton, FL)",C,94,2017
Marek Dolezaj,72,"Slovakia (Slovakia, SLOV)",SF,94,2017
Jalen Hill,73,"Centennial (Corona, CA)",PF,94,2017
Cody Riley,74,"Sierra Canyon (Chatsworth, CA)",PF,94,2017
Davion Mitchell,75,"Liberty County (Hinesville, GA)",PG,94,2017
Jaylen Nowell,76,"Garfield (Seattle, WA)",SG,94,2017
Naji Marshall,77,"Eleanor Roosevelt (Greenbelt, MD)",SF,94,2017
Race Thompson,78,"Robbinsdale Armstrong (Minneapolis, MN)",PF,93,2017
Darius Perry,79,"Wheeler (Marietta, GA)",PG,93,2017
Justin Smith,80,"Adlai Stevenson (Lincolnshire, IL)",PF,93,2017
Alex Reese,81,"Pelham (Pelham, AL)",PF,93,2017
LJ Figueroa,82,"West Oaks Academy (Orlando, FL)",SG,93,2017
Ike Obiagu,83,"Greenforest Mccalep Christian Academy (Decatur, GA)",C,93,2017
Lance Thomas,84,"Norcross (Norcross, GA)",PF,93,2017
Xavier Tillman,85,"Grand Rapids Christian (Grand Rapids, MI)",PF,93,2017
Sidney Wilson,86,"Brewster Academy (Bronx, NY)",SF,93,2017
Dhamir Cosby-Roundtree,87,"Neumann Goretti (Philadelphia, PA)",PF,93,2017
Bourama Sidibe,88,"St. Benedict's Prep (Newark, NJ)",PF,93,2017
D'Shawn Schwartz,89,"Sand Creek (Colorado Springs, CO)",SF,93,2017
Jemarl Baker,90,"Eleanor Roosevelt (Los Angeles, CA)",SG,93,2017
Mamadou Doucoure,91,"Our Savior New American School (Centereach, NY)",C,93,2017
Brandon Huffman II,92,"Word Of God Christian Academy (Goldsboro, NC)",C,92,2017
Aamir Simms,93,"Blue Ridge School (Dyke, VA)",SF,92,2017
Ty-Shon Alexander,94,"Concord (Concord, NC)",SG,92,2017
Wabissa Bede,95,"Cushing Academy (Lowell, MA)",PG,92,2017
Kaleb Wesson,96,"Westerville South (Westerville, OH)",C,92,2017
Kenny Wooten,97,"Trinity International Schools (Las Vegas, NV)",PF,92,2017
Jay Jay Chandler,98,"Cinco Ranch (Katy, TX)",SG,92,2017
Jamal Cain,99,"Academy For Business And Technology S (Melvindale, MI)",SF,92,2017
Alex O'Connell,100,"Milton (Alpharetta, GA)",SG,92,2017
Jordan Poole,101,"La Lumiere School (Milwaukee, WI)",SG,92,2017
Blake Harris,102,"Word Of God Christian Academy (Chapel Hill, NC)",PG,92,2017
David Beatty,103,"Imhotep Institute (Philadelphia, PA)",CG,91,2017
Luka Garza,104,"Maret School (Washington, DC)",C,91,2017
Darryl Morsell,105,"Mount Saint Joseph (Baltimore, MD)",CG,91,2017
Lavar Batts,106,"Jay M. Robinson (Concord, NC)",PG,91,2017
Hasahn French,107,"Commonwealth Academy (Middletown, NY)",PF,91,2017
Myles Cale,108,"St. Patrick (Middletown, DE)",SG,91,2017
Saben Lee,109,"Corona del Sol (Tempe, AZ)",PG,91,2017
Keith Williams,110,"Bishop Loughlin Memorial (Brooklyn, NY)",SG,91,2017
Jacob Epperson,111,"La Lumiere School (Australia, AUST)",C,91,2017
Sandro Mamukelashvili,112,"Montverde Academy (Montverde, FL)",PF,91,2017
Herbert Jones,113,"Hale County (Moundville, AL)",SG,91,2017
Nate Watson,114,"Bishop O'Connell (Upper Marlboro, MD)",C,91,2017
Tristan Clark,115,"Converse Judson (Converse, TX)",PF,91,2017
DeAundrae Ballard,116,"Southwest Atlanta Christian Academy (Atlanta, GA)",SF,91,2017
Tyler Bey,117,"Middlebrooks Academy (Los Angeles, CA)",PF,91,2017
Jamorko Pickett,118,"Massanutten Military Academy (Woodstock, VA)",SF,90,2017
Mayan Kiir,119,"Victory Rock Prep (Bradenton, FL)",PF,90,2017
Kevin Samuel,120,"St. Thomas Episcopal School (Houston, TX)",C,90,2017
Kobe King,121,"La Crosse Central (La Crosse, WI)",SG,90,2017
Galen Alexander,122,"Breaux Bridge (Breaux Bridge, LA)",SF,90,2017
Alex Barcello,123,"Corona del Sol (Tempe, AZ)",PG,90,2017
Jack Nunge,124,"Castle (Newburgh, IN)",PF,90,2017
Jase Febres,125,"Westfield (Houston, TX)",SG,90,2017
Mitchell Ballock,126,"Eudora (Eudora, KS)",SG,90,2017
Kyle Young,127,"Jackson (Massillon, OH)",SF,90,2017
Brad Davison,128,"Maple Grove (Osseo, MN)",PG,90,2017
Isaiah Stokes,129,"IMG Academy (Memphis, TN)",PF,90,2017
Devontae Shuler,130,"Oak Hill Academy (Columbia, SC)",SG,90,2017
Davide Moretti,131,"Italy (Italy, ITAL)",CG,90,2017
Theo John,132,"Champlin Park (Champlin, MN)",PF,90,2017
Terrence Lewis,133,"Riverside (Milwaukee, WI)",SF,90,2017
Jordan Usher,134,"Wheeler (Canton, GA)",SG,89,2017
Thomas Allen,135,"Brewster Academy (Garner, NC)",SG,89,2017
Donnie Tillman,136,"Findlay Prep (Henderson, NV)",PF,89,2017
Brandon Knapper,137,"Hargrave Military Academy (Charleston, WV)",PG,89,2017
Sam Waardenburg,138,"New Zealand (Auckland, AC)",PF,89,2017
William Douglas,139,"Christian Brothers (Memphis, TN)",PG,89,2017
RaiQuan Gray,140,"Dillard (Fort Lauderdale, FL)",PF,89,2017
Ejike Obinna,141,"Virginia Academy (Ashburn, VA)",C,89,2017
Remy Martin,142,"Sierra Canyon (Chatsworth, CA)",PG,89,2017
J.P. Moorman,143,"Greensboro Day School (Greensboro, NC)",SF,89,2017
Chris Smith,144,"Huntington Expression Prep (Fort Worth, TX)",SF,89,2017
Garrison Brooks,145,"Auburn (Lafayette, AL)",PF,89,2017
Mark Smith,146,"Edwardsville (Edwardsville, IL)",SG,89,2017
Clifton Moore,147,"Hatboro-Horsham (Horsham, PA)",PF,89,2017
Trent Frazier,148,"Wellington (West Palm Beach, FL)",PG,89,2017
Aaron Wheeler,149,"Brewster Academy (Wolfeboro, NH)",SF,89,2017
Elias Harden,150,"Sandy Creek (Atlanta, GA)",SG,89,2017
RJ Barrett,1,"Montverde Academy (Montverde, FL)",SG,100,2018
Nassir Little,2,"Orlando Christian Prep (Orlando, FL)",SF,100,2018
Cam Reddish,3,"Westtown School (Norristown, PA)",SF,99,2018
Bol Bol,4,"Findlay Prep (Henderson, NV)",C,99,2018
Romeo Langford,5,"New Albany (New Albany, IN)",SG,99,2018
EJ Montgomery,6,"Wheeler (Marietta, GA)",PF,99,2018
Zion Williamson,7,"Spartanburg Day School (Spartanburg, SC)",PF,99,2018
Simisola Shittu,8,"Vermont Academy (Saxtons River, VT)",PF,99,2018
Charles Bassey,9,"Aspire Basketball Academy (Louisville, KY)",C,99,2018
Anfernee Simons,10,"IMG Academy (Bradenton, FL)",CG,99,2018
Darius Garland,11,"Brentwood Academy (Brentwood, TN)",PG,99,2018
Ashton Hagans,12,"Newton (Covington, GA)",PG,99,2018
Quentin Grimes,13,"College Park (The Woodlands, TX)",CG,99,2018
Tre Jones,14,"Apple Valley (Saint Paul, MN)",PG,99,2018
Jalen Smith,15,"Mount Saint Joseph (Baltimore, MD)",C,98,2018
Jordan Brown,16,"Prolific Prep (Napa, CA)",PF,98,2018
Jaylen Hoard,17,"Wesleyan Christian (High Point, NC)",SF,98,2018
Keldon Johnson,18,"Oak Hill Academy (Mouth Of Wilson, VA)",SF,98,2018
Immanuel Quickley,19,"John Carroll School (Bel Air, MD)",PG,98,2018
Andrew Nembhard,20,"Montverde Academy (Thornhill, ON)",PG,98,2018
Devon Dotson,21,"Providence Day School (Charlotte, NC)",PG,98,2018
Naz Reid,22,"Roselle Catholic (Roselle, NJ)",PF,98,2018
Darius Bazley,23,"Princeton (Cincinnati, OH)",SF,98,2018
Louis King,24,"Hudson Catholic (Burlington, NJ)",SF,98,2018
Brandon Williams,25,"Crespi (Encino, CA)",PG,98,2018
Coby White,26,"Greenfield School (Wilson, NC)",SG,98,2018
Kevin Porter Jr.,27,"Rainier Beach (Seattle, WA)",SG,98,2018
Jahvon Quinerly,28,"Hudson Catholic (Jersey City, NJ)",PG,98,2018
Taeshon Cherry,29,"Foothills Christian (El Cajon, CA)",SF,98,2018
Ayo Dosunmu,30,"Morgan Park (Chicago, IL)",CG,98,2018
Emmitt Williams,31,"Oak Ridge (Lehigh Acres, FL)",PF,98,2018
Moses Brown,32,"Archbishop Molloy (Jamaica, NY)",C,97,2018
Luguentz Dort,33,"Athlete Institute Basketball Academy (Mono, ON)",SG,97,2018
Courtney Ramey,34,"Webster Groves (St. Louis, MO)",PG,97,2018
Reggie Perry,35,"Thomasville (Thomasville, GA)",PF,97,2018
Javonte Smart,36,"Scotlandville Magnet (Baton Rouge, LA)",CG,97,2018
Daniel Oturu,37,"Cretin Derham Hall (Saint Paul, MN)",C,97,2018
Tyler Herro,38,"Whitnall (Milwaukee, WI)",SG,97,2018
Kira Lewis,39,"Hazel Green (Meridianville, AL)",PG,97,2018
David McCormack,40,"Oak Hill Academy (Norfolk, VA)",C,97,2018
Gerald Liddell,41,"Cibolo Steele (Cibolo, TX)",SF,97,2018
Ignas Brazdeikis,42,"Orangeville Prep (Mono, ON)",SF,97,2018
Joey Baker,43,"Trinity Christian School (Fayetteville, NC)",SF,97,2018
Elijah Weaver,44,"Rockledge (Southwest Brevard Cnty, FL)",CG,96,2018
A.J. Reeves,45,"Brimmer And May School (Chestnut Hill, MA)",SG,96,2018
Aaron Nesmith,46,"Porter Gaud School (Charleston, SC)",SG,96,2018
Aaron Wiggins,47,"Wesleyan Christian (High Point, NC)",SG,96,2018
Brandon Slater,48,"Paul VI Catholic (Fairfax, VA)",SF,96,2018
A.J. Lawson,49,"GTA Prep (Mississauga, ON)",CG,96,2018
Joey Hauser,50,"Stevens Point Area Senior (Stevens Point, WI)",PF,96,2018
Jerome Hunter,51,"Pickerington North (Pickerington, OH)",PF,96,2018
Shareef O'Neal,52,"Crossroads School (Los Angeles, CA)",PF,96,2018
Kamaka Hepa,53,"Jefferson (Portland, OR)",PF,96,2018
Francis Okoro,54,"Normal Community West (Normal, IL)",C,96,2018
Joe Wieskamp,55,"Muscatine (Muscatine, IA)",SG,95,2018
Robert Woodard,56,"Columbus (Columbus, MS)",SF,95,2018
David Duke,57,"Cushing Academy (Providence, RI)",CG,95,2018
Cole Swider,58,"St. Andrew's (Barrington, RI)",PF,95,2018
Will Richardson,59,"Oak Hill Academy (Midway, GA)",SG,95,2018
Michael Devoe,60,"Montverde Academy (Orlando, FL)",PG,95,2018
Cormac Ryan,61,"Milton Academy (NEW YORK CITY, NY)",CG,95,2018
Elias Valtonen,62,"Helsinki Basketball Academy (Finland, FINL)",SG,95,2018
Jules Bernard,63,"Windward School (Los Angeles, CA)",SG,95,2018
Khavon Moore,64,"Westside (Macon, GA)",SF,94,2018
Talen Horton-Tucker,65,"Simeon (Chicago, IL)",SF,94,2018
David Singleton,66,"Bishop Montgomery (Torrance, CA)",SG,94,2018
Devonaire Doutrive,67,"Birmingham (Van Nuys, CA)",SG,94,2018
Landers Nolley,68,"Langston Hughes (Fairburn, GA)",SF,94,2018
Miles Norris,69,"Brewster Academy (Wolfeboro, NH)",PF,94,2018
Darius Days,70,"The Rock School (Gainesville, FL)",PF,94,2018
Eric Ayala,71,"IMG Academy (Bradenton, FL)",CG,94,2018
Noah Kirkwood,72,"Northfield Mount Hermon (Northfield, MA)",CG,94,2018
Filip Petrusev,73,"Montverde Academy (Montverde, FL)",C,94,2018
Jairus Hamilton,74,Cannon School (),SF,94,2018
